,productName,productPrice(INR),productDesc,productImg,productBuyLink
33,HRX by Hrithik Roshan,989,Men Running Sports Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22799380/2023/4/17/fcf2784c-86d7-43f3-9915-5ed40992fba81681747991254SportsShoes1.jpg",https://myntra.com/sports-shoes/hrx+by+hrithik+roshan/hrx-by-hrithik-roshan-men-black-and-grey-non-marking-running-sports-shoes/22799380/buy
34,Campus,985,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/10071063/2022/6/30/d15fa186-a0e0-45c9-9541-ef06f446095d1656584530091-Campus-Women-Black-Mesh-Running-Shoes-7671656584529664-1.jpg",https://myntra.com/sports-shoes/campus/campus-women-black-mesh-running-shoes/10071063/buy
35,Red Tape,959,Men Black Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19439134/2022/8/8/1f3d217e-6397-461b-b5d3-6060cc0cb7e11659974417404SportsShoes1.jpg",https://myntra.com/sports-shoes/red+tape/red-tape-men-black-walking-shoes/19439134/buy
36,Campus,909,Men Crysta Pro Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17541968/2023/11/3/8a440f71-0cbc-4654-96c0-34181ec066c81698991594585-Campus-Men-Black-Mesh-Crysta-Pro-Running-Shoes-3061698991594-1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black-mesh-crysta-pro-running-shoes/17541968/buy
37,DOCTOR EXTRA SOFT,899,Women Canvas Slip-On Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24889248/2023/9/11/12ddd611-3820-4080-b433-5dfef7a54d471694412269689DOCTOREXTRASOFTWomenBlackWovenDesignSlip-OnSneakers1.jpg",https://myntra.com/casual-shoes/doctor+extra+soft/doctor-extra-soft-women-textured-lightweight-memory-foam-insole-canvas-slip-on-sneakers/24889248/buy
38,Campus,895,Men Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16180900/2022/5/18/994a8e1a-0038-4386-b836-cc6f375b6c481652874260672CampusMenBlackOrangeHurricaneRunningShoes1.jpg",https://myntra.com/sports-shoes/campus/campus-men-black--orange-hurricane-running-shoes/16180900/buy
39,HERE&NOW,875,Men Textured Formal Loafers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/26819106/2024/1/7/0a40bccb-74c0-4f40-9092-b7811c8d1cd71704633583438HERENOWMenTexturedFormalLoafers1.jpg",https://myntra.com/formal-shoes/here%26now/herenow-men-textured-formal-loafers/26819106/buy
40,El Paso,799,Women Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17692598/2022/6/23/1c86bb76-ad56-4958-a90d-897e402120081655974319079ElPasoWomenBlackSolidLightweightSneakers1.jpg",https://myntra.com/casual-shoes/el+paso/el-paso-women-black-solid-lightweight-sneakers/17692598/buy
42,HERE&NOW,747,Men Formal Penny Loafers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25065758/2023/9/21/799a2bd3-f5ff-46f9-9442-dcb5755001431695272354921HERENOWMenFormalLoafers1.jpg",https://myntra.com/formal-shoes/here%26now/herenow-men-black-formal-penny-loafers/25065758/buy
7,BRUTON,729,"Shoes, Men's Sports Shoes, Perfect Sport Shoes & Running Shoes for Men's (Pack of 2 Combo)",https://m.media-amazon.com/images/I/71gtaN8eAcL._AC_UL320_.jpg,https://amazon.in//sspa/click?ie=UTF8&spc=MTo3MjgwOTEwMDczOTIxMDQyOjE3MDc3MjEwMzc6c3BfYnRmOjIwMDgzNDU2Mzg5MDk4OjowOjo&url=%2FBRUTON-Sports-Perfect-Running-Numeric_6%2Fdp%2FB0B6J6BMBF%2Fref%3Dsr_1_57_sspa%3Fcrid%3D2YO34STXS8CY4%26keywords%3DShoes%2BBlack%26qid%3D1707721037%26sprefix%3DShoes%2BBlack%252Caps%252C374%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
43,Campus,703,Women Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/16521404/2021/12/15/ef71a18b-ee7e-4f5e-b7f3-4851cdf867541639556208287CampusWomenBlack1.jpg",https://myntra.com/sports-shoes/campus/campus-women-black-mesh-running-shoes/16521404/buy
44,Shoetopia,699,Woven Design Wedge Heel Mules,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21948902/2023/3/20/8a172135-63e8-4704-a106-8c97a11eb1b21679311326283-Shoetopia-Woven-Design-Open-Toe-Wedge-Heel-Mules-89216793113-1.jpg",https://myntra.com/heels/shoetopia/shoetopia-woven-design-open-toe-wedge-heel-mules/21948902/buy
45,Duke,699,Men Lace-Up Running Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22803808/2023/4/18/28f1df2f-47d9-4051-a311-f3d99be851751681764700846SportsShoes1.jpg",https://myntra.com/sports-shoes/duke/duke-men-textile-lace-up-running-shoes/22803808/buy
46,Killer,674,Men Woven Design Slip-On Sneakers,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17990342/2022/4/22/9b07013a-6b53-4e96-99c5-5768885840081650619111596KillerMenBlackWovenDesignSlip-OnSneakers7.jpg",https://myntra.com/casual-shoes/killer/killer-men-black-woven-design-slip-on-sneakers/17990342/buy
47,Roadster,637,Men Mesh Walking Shoes,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22482216/2023/3/23/d01842f7-ad76-4f4c-8be2-dd676638fe5a1679590607359SPORTSSHOES1.jpg",https://myntra.com/sports-shoes/roadster/roadster-men-mesh-marking-walking-shoes/22482216/buy
